state,court_type,case_type,judge_rating,complexity,hearings,public_interest,case_text,outcome,clean_text
Tamil Nadu,District Court,Family,8.9,6.3,19,Yes,The Family case with complexity 6.3 and 19 hearings,1,the family case with complexity and hearings
West Bengal,Supreme Court,Family,5.1,9.3,12,No,The Family case with complexity 9.3 and 12 hearings,1,the family case with complexity and hearings
Tamil Nadu,District Court,Criminal,6.5,5.7,12,Yes,The Criminal case with complexity 5.7 and 12 hearings,1,the criminal case with complexity and hearings
Maharashtra,Supreme Court,Corporate,9.9,3.4,15,No,The Corporate case with complexity 3.4 and 15 hearings,1,the corporate case with complexity and hearings
Tamil Nadu,Supreme Court,Criminal,5.2,6.4,9,Yes,The Criminal case with complexity 6.4 and 9 hearings,0,the criminal case with complexity and hearings
Tamil Nadu,High Court,Civil,6.9,1.6,2,No,The Civil case with complexity 1.6 and 2 hearings,1,the civil case with complexity and hearings
Tamil Nadu,District Court,Family,9.5,3.6,8,No,The Family case with complexity 3.6 and 8 hearings,1,the family case with complexity and hearings
Maharashtra,Supreme Court,Constitutional,9.8,7.7,2,No,The Constitutional case with complexity 7.7 and 2 hearings,0,the constitutional case with complexity and hearings
Tamil Nadu,District Court,Constitutional,6.9,3.7,13,No,The Constitutional case with complexity 3.7 and 13 hearings,0,the constitutional case with complexity and hearings
Delhi,District Court,Criminal,8.9,3.1,11,No,The Criminal case with complexity 3.1 and 11 hearings,0,the criminal case with complexity and hearings
Karnataka,District Court,Family,5.4,4.4,9,No,The Family case with complexity 4.4 and 9 hearings,0,the family case with complexity and hearings
Tamil Nadu,High Court,Criminal,5.3,4.0,5,No,The Criminal case with complexity 4.0 and 5 hearings,0,the criminal case with complexity and hearings
Karnataka,Sessions Court,Criminal,6.9,9.3,3,No,The Criminal case with complexity 9.3 and 3 hearings,1,the criminal case with complexity and hearings
Karnataka,District Court,Civil,5.1,2.4,7,No,The Civil case with complexity 2.4 and 7 hearings,1,the civil case with complexity and hearings
Tamil Nadu,High Court,Constitutional,6.2,4.8,11,No,The Constitutional case with complexity 4.8 and 11 hearings,0,the constitutional case with complexity and hearings
Karnataka,Sessions Court,Corporate,9.6,8.0,6,No,The Corporate case with complexity 8.0 and 6 hearings,1,the corporate case with complexity and hearings
Tamil Nadu,High Court,Family,6.6,2.5,7,No,The Family case with complexity 2.5 and 7 hearings,1,the family case with complexity and hearings
Karnataka,High Court,Criminal,9.1,8.4,7,No,The Criminal case with complexity 8.4 and 7 hearings,1,the criminal case with complexity and hearings
West Bengal,District Court,Family,6.3,3.5,9,No,The Family case with complexity 3.5 and 9 hearings,1,the family case with complexity and hearings
Maharashtra,Supreme Court,Corporate,6.3,5.5,17,No,The Corporate case with complexity 5.5 and 17 hearings,0,the corporate case with complexity and hearings
Karnataka,District Court,Civil,7.5,1.9,5,No,The Civil case with complexity 1.9 and 5 hearings,0,the civil case with complexity and hearings
Maharashtra,District Court,Corporate,7.2,5.9,4,Yes,The Corporate case with complexity 5.9 and 4 hearings,1,the corporate case with complexity and hearings
